precursor	mirbase_id	chr	strand	start	end	exp_mature	Cerebellum	Heart	Testis	Brain	Kidney	closest_gene	gene_strand	distance
hsa-mir-337	MI0000806	chr14	+	101340830	101340922	hsa-miR-337-3p	1.11	0.71	9.06	0.16	0.36	RTL1	-	6071
hsa-mir-6840	MI0022686	chr7	+	99954274	99954344	hsa-miR-6840-3p	0	0	0	0.32	0	PILRB	+	-1352
hsa-mir-4520a	MI0016886	chr17	-	6558759	6558828	hsa-miR-4520a-5p	0	0	0	0.16	0	C17orf100	+	2143
hsa-mir-19b-1	MI0000074	chr13	+	92003446	92003532	hsa-miR-19b-1-5p	0	0.71	1.97	0.48	0.36	GPC5	+	47404
hsa-mir-137	MI0000454	chr1	-	98511626	98511727	hsa-miR-137	1.11	17.13	2.76	275.57	0.36	DPYD	-	125012
hsa-mir-4509-1	MI0016873	chr15	-	22675148	22675241	none	0	0	0	0	0	GOLGA8DP	-	-27045
hsa-mir-3689d-2	MI0016835	chr9	-	137742123	137742202	none	0	0	0	0	0	COL5A1	+	5436
hsa-mir-4754	MI0017394	chr19	-	58898137	58898225	none	0	0	0	0	0	RPS5	+	-412
hsa-mir-517a	MI0003161	chr19	+	54215522	54215608	hsa-miR-517-5p	0	0.24	0.39	0	0	DPRX	+	-75260
hsa-mir-651	MI0003666	chrX	+	8095006	8095102	hsa-miR-651-5p	0	17.61	16.95	1.27	5.71	VCX2	-	42884
hsa-mir-4720	MI0017355	chr16	+	81418623	81418698	none	0	0	0	0	0	GAN	+	-4821
hsa-mir-409	MI0001735	chr14	+	101531637	101531715	hsa-miR-409-5p	63.27	3.09	14.58	43.63	0.89	MEG9	+	4534
hsa-mir-3925	MI0016433	chr6	-	36590213	36590289	hsa-miR-3925-3p	0	0	0.39	0	0	SRSF3	+	17970
hsa-mir-606	MI0003619	chr10	+	77312216	77312311	none	0	0	0	0	0	ZNF503-AS2	+	-143477
hsa-mir-376c	MI0000776	chr14	+	101506027	101506092	hsa-miR-376c-3p	9.8	15.7	175.77	3.97	7.5	MEG9	+	30157
hsa-mir-924	MI0005716	chr18	-	37202087	37202139	none	0	0	0	0	0	LINC00669	-	0
hsa-mir-19a	MI0000073	chr13	+	92003145	92003226	hsa-miR-19a-5p	0	0	0.39	0	0	GPC5	+	47710
hsa-mir-6131	MI0021276	chr5	+	10478149	10478257	none	0	0	0	0	0	ROPN1L	+	-13012
hsa-mir-519b	MI0003151	chr19	+	54198467	54198547	hsa-miR-519b-5p	0	0	2.36	0.16	0	DPRX	+	-58205
hsa-mir-193b	MI0003137	chr16	+	14397824	14397906	hsa-miR-193b-5p	6.91	23.08	13.79	23.64	4.28	MKL2	+	-37195
hsa-mir-548aw	MI0019283	chr9	+	135821094	135821158	none	0	0	0	0	0	TSC1	-	-1075
hsa-mir-106a	MI0000113	chrX	-	133304228	133304308	hsa-miR-106a-5p	18.71	29.74	21.68	26.18	112.27	CCDC160	+	-66770
hsa-mir-323a	MI0000807	chr14	+	101492069	101492154	hsa-miR-323a-5p	36.76	0	0	32.21	0	SNORD114-31	+	-32424
hsa-mir-154	MI0000480	chr14	+	101526092	101526175	hsa-miR-154-5p	8.24	3.57	11.43	2.7	1.61	MEG9	+	10074
hsa-mir-5589	MI0019148	chr19	+	10149030	10149089	none	0	0	0	0	0	C3P1	+	2944
hsa-mir-3168	MI0014199	chr13	-	41675155	41675236	none	0	0	0	0	0	WBP4	+	17017
hsa-mir-8087	MI0025923	chr11	-	27536517	27536594	none	0	0	0	0	0	BDNF-AS	+	0
hsa-mir-219b	MI0017299	chr9	+	131154900	131154987	none	0	0	0	0	0	URM1	+	-606
hsa-mir-654	MI0003676	chr14	+	101506556	101506636	hsa-miR-654-3p	132.33	32.36	110.35	32.68	9.64	MEG9	+	29613
hsa-mir-3180-1	MI0014214	chr16	+	15005077	15005170	hsa-miR-3180-3p	12.92	0.24	2.76	5.08	0	NOMO1	+	-15064
hsa-mir-6511a-3	MI0023565	chr16	+	16462733	16462799	hsa-miR-6511a-5p	0.22	0	0.39	0.32	0	PKD1P1	+	-18269
hsa-mir-30a	MI0000088	chr6	-	72113254	72113324	hsa-miR-30a-5p	9762	49603.8	4033.66	13909	466662	LINC00472	-	-10826
hsa-mir-20b	MI0001519	chrX	-	133303839	133303907	hsa-miR-20b-5p	36.09	89.45	27.19	58.06	312	CCDC160	+	-67171
hsa-mir-7154	MI0023614	chr11	-	45713254	45713326	hsa-miR-7154-5p	0	0	1.58	0	0	CHST1	-	26049
hsa-mir-329-1	MI0001725	chr14	+	101493122	101493201	hsa-miR-329-5p	40.99	0	0.39	37.92	0.18	SNORD114-31	+	-33477
hsa-mir-369	MI0000777	chr14	+	101531935	101532004	hsa-miR-369-5p	3.56	3.09	13.01	3.97	1.43	MEG9	+	4245
hsa-mir-4488	MI0016849	chr11	+	61276068	61276129	hsa-miR-4488	20.94	1.67	25.22	41.57	0.89	LRRC10B	+	144
hsa-mir-6511a-2	MI0023564	chr16	+	16418445	16418511	hsa-miR-6511a-5p	0.22	0	0.39	0.32	0	PKD1P1	+	0
hsa-mir-370	MI0000778	chr14	+	101377476	101377550	hsa-miR-370-3p	1095.16	28.31	19.31	1003.28	5.18	MEG8	+	-4172
hsa-mir-3179-2	MI0014216	chr16	+	16394016	16394099	none	0	0	0	0	0	NOMO3	+	-5349
hsa-mir-96	MI0000098	chr7	-	129414532	129414609	none	0	0	0	0	0	NRF1	+	17611
hsa-mir-600	MI0003613	chr9	-	125873825	125873922	none	0	0	0	0	0	RABGAP1	+	6679
hsa-mir-4752	MI0017391	chr19	+	54785964	54786035	none	0	0	0	0	0	LILRB2	-	-932
hsa-mir-4419b	MI0016861	chr12	+	128729051	128729118	none	0	0	0	0	0	TMEM132C	+	22831
hsa-mir-18a	MI0000072	chr13	+	92003005	92003075	hsa-miR-18a-5p	1.34	43.06	62.66	7.62	20.53	GPC5	+	47861
hsa-mir-374c	MI0016684	chrX	+	73438384	73438453	hsa-miR-374c-5p	0.22	0.71	2.76	0.48	1.43	FTX	-	0
hsa-mir-146b	MI0003129	chr10	+	104196269	104196341	hsa-miR-146b-5p	1137.71	2924.85	5883.19	7046.57	5635.04	CUEDC2	-	-3847
hsa-mir-1255b-1	MI0006435	chr4	-	36427988	36428050	none	0	0	0	0	0	DTHD1	+	80611
hsa-mir-7159	MI0023620	chr6	+	33866912	33866977	hsa-miR-7159-5p	0	0	37.44	0	0	LOC100507584	-	-2229
hsa-mir-3671	MI0016072	chr1	-	65523438	65523525	none	0	0	0	0	0	AK4	+	-89708
hsa-mir-4436a	MI0016776	chr2	+	89111884	89111968	none	0	0	0	0	0	ANKRD36BP2	+	-5776
hsa-mir-3201	MI0014250	chr22	+	48670176	48670227	none	0	0	0	0	0	FAM19A5	+	215062
hsa-mir-30c-2	MI0000254	chr6	-	72086663	72086734	hsa-miR-30c-2-3p	367.13	183.43	25.22	158.96	1495.19	LINC00472	-	-37416
hsa-mir-6128	MI0021272	chr11	+	56511349	56511457	none	0	0	0	0	0	OR9G4	-	-63
hsa-mir-4330	MI0015902	chrX	+	150336694	150336798	none	0	0	0	0	0	GPR50	+	8259
hsa-mir-4291	MI0015900	chr9	+	96581639	96581703	none	0	0	0	0	0	BARX1	-	132207
hsa-mir-494	MI0003134	chr14	+	101495971	101496051	hsa-miR-494-5p	0.22	0	0	0.16	0	SNORD114-31	+	-36326
hsa-mir-187	MI0000274	chr18	-	33484781	33484889	none	0	0	0	0	0	C18orf21	+	-67700
hsa-mir-377	MI0000785	chr14	+	101528387	101528455	hsa-miR-377-5p	15.15	1.19	2.36	7.77	0.36	MEG9	+	7794
hsa-mir-30b	MI0000441	chr8	-	135812763	135812850	hsa-miR-30b-3p	0.45	2.62	0	1.11	1.07	ZFAT	-	87472
hsa-mir-99b	MI0000746	chr19	+	52195865	52195934	hsa-miR-99b-3p	398.32	51.86	25.62	203.23	66.93	LINC00085	+	660
hsa-mir-539	MI0003514	chr14	+	101513658	101513735	hsa-miR-539-5p	44.11	0.48	1.97	29.67	0.54	MEG9	+	22514
hsa-mir-18b	MI0001518	chrX	-	133304071	133304141	hsa-miR-18b-3p	0	0	0	0	0.36	CCDC160	+	-66937
hsa-mir-380	MI0000788	chr14	+	101491354	101491414	hsa-miR-380-3p	2.45	0	1.58	3.17	0	SNORD114-31	+	-31709
hsa-mir-527	MI0003179	chr19	+	54257272	54257356	hsa-miR-527	0	0	0.39	0	0	NLRP12	-	39500
hsa-mir-106a	MI0000113	chrX	-	133304228	133304308	hsa-miR-106a-5p	18.71	29.74	21.68	26.18	112.27	CCDC160	+	-66770
hsa-mir-520f	MI0003146	chr19	+	54185413	54185499	hsa-miR-520f-3p	0	0	91.04	0	0	DPRX	+	-45151
hsa-mir-7-2	MI0000264	chr15	+	89155056	89155165	hsa-miR-7-5p	359.34	20.46	191.93	310.79	25.52	AEN	+	9363
hsa-mir-2392	MI0016870	chr14	+	101280828	101280911	none	0	0	0	0	0	MEG3	+	11535
hsa-mir-6089-2	MI0023563	chrY	+	2477232	2477295	none	0	0	0	0	0	CD99P1	+	12
hsa-mir-29a	MI0000087	chr7	-	130561506	130561569	hsa-miR-29a-3p	88.22	337.36	429.57	192.44	482.99	LOC646329	-	-4183
hsa-mir-4430	MI0016769	chr2	+	33643583	33643631	hsa-miR-4430	0	0	0	0.16	0	RASGRP3	+	17786
hsa-mir-450a-1	MI0001652	chrX	-	133674371	133674461	hsa-miR-450a-5p	0.22	1.19	59.51	0.63	11.24	MGC16121	-	-2947
hsa-mir-4675	MI0017306	chr10	+	20840899	20840975	none	0	0	0	0	0	NEBL	-	227929
hsa-mir-1273c	MI0014171	chr6	+	155174494	155174570	hsa-miR-1273c	0	0	0	0.16	0	SCAF8	+	-19301
hsa-mir-3156-3	MI0014242	chr21	-	14778705	14778781	none	0	0	0	0	0	POTED	+	-203718
hsa-mir-3668	MI0016069	chr6	+	140526389	140526463	none	0	0	0	0	0	LOC100132735	+	-344782
hsa-mir-7-3	MI0000265	chr19	+	4770682	4770791	hsa-miR-7-5p	359.34	20.46	191.93	310.79	25.52	FEM1A	+	20938
hsa-mir-6859-1	MI0022705	chr1	-	17369	17436	hsa-miR-6859-3p	0.45	0	0	0	0	WASH7P	-	0
hsa-mir-8067	MI0025903	chr15	-	62596857	62596933	none	0	0	0	0	0	C2CD4B	-	139376
hsa-mir-4327	MI0015867	chr21	-	31747612	31747696	none	0	0	0	0	0	KRTAP13-2	-	3056
hsa-mir-9-2	MI0000467	chr5	-	87962671	87962757	hsa-miR-9-3p	4.46	15.23	26.8	211.32	14.1	LINC00461	-	0
hsa-mir-203b	MI0017343	chr14	-	104583755	104583840	hsa-miR-203b-3p	0	0	1.58	3.01	7.5	ASPG	+	4710
hsa-mir-125b-1	MI0000446	chr11	-	121970465	121970552	hsa-miR-125b-1-3p	0.22	1.9	7.49	1.59	0.36	BLID	-	-15511
hsa-mir-607	MI0003620	chr10	-	98588426	98588521	none	0	0	0	0	0	LCOR	+	-3497
hsa-mir-3663	MI0016064	chr10	-	118927189	118927285	hsa-miR-3663-3p	0.22	0	1.58	0.48	0	VAX1	-	29378
hsa-mir-323b	MI0014206	chr14	+	101522556	101522637	hsa-miR-323b-3p	11.14	0	2.76	14.91	0	MEG9	+	13612
hsa-mir-450a-2	MI0003187	chrX	-	133674538	133674637	hsa-miR-450a-2-3p	0	0	0	0.16	0.36	MGC16121	-	-2771
hsa-mir-517c	MI0003174	chr19	+	54244567	54244661	hsa-miR-517-5p	0	0.24	0.39	0	0	NLRP12	-	52195
hsa-mir-550a-2	MI0003601	chr7	+	32772593	32772689	hsa-miR-550a-5p	2	3.81	3.94	1.75	0.89	ZNRF2P1	+	-2999
hsa-let-7e	MI0000066	chr19	+	52196039	52196117	hsa-let-7e-3p	3.79	3.09	3.94	8.09	3.93	LINC00085	+	477
hsa-mir-6088	MI0020365	chr19	+	45939912	45939962	none	0	0	0	0	0	ERCC1	-	-12736
hsa-mir-5705	MI0019313	chr4	-	88221647	88221735	none	0	0	0	0	0	HSD17B13	-	-3207
hsa-mir-663b	MI0006336	chr2	-	133014539	133014653	hsa-miR-663b	0.22	0	0	1.11	0	ANKRD30BL	-	0
hsa-mir-522	MI0003177	chr19	+	54254465	54254551	hsa-miR-522-5p	0	0	2.36	0.16	0	NLRP12	-	42305
hsa-mir-31	MI0000089	chr9	-	21512114	21512184	hsa-miR-31-3p	0	0	0.79	0	0.18	IFNE	-	29803
hsa-mir-297	MI0005775	chr4	-	111781738	111781803	none	0	0	0	0	0	PITX2	-	218460
hsa-mir-7112-1	MI0022963	chr8	-	145317576	145317640	hsa-miR-7112-3p	0	0	0	0.32	0	HEATR7A	+	734
hsa-mir-526b	MI0003150	chr19	+	54197647	54197729	hsa-miR-526b-5p	0	0	0.79	0	0	DPRX	+	-57385
hsa-mir-4454	MI0016800	chr4	-	164014726	164014780	none	0	0	0	0	0	NAF1	-	-33081
hsa-mir-548al	MI0016851	chr11	+	74110282	74110378	hsa-miR-548al	0	0.71	0.79	0.16	0.54	PGM2L1	-	-781
hsa-mir-148a	MI0000253	chr7	-	25989539	25989606	hsa-miR-148a-5p	0.89	32.59	10.64	1.43	43.73	RNU6-16	-	108910
hsa-mir-133b	MI0000822	chr6	+	52013721	52013839	hsa-miR-133b	1.11	78.51	1.18	0.48	0.36	IL17A	+	37347
hsa-mir-6770-1	MI0022615	chr16	+	15024677	15024736	hsa-miR-6770-3p	0.22	0	0	0.16	0	NPIP	+	6565
hsa-mir-4470	MI0016821	chr8	+	62627347	62627418	hsa-miR-4470	0.22	0	0	0	0	ASPH	-	-149
hsa-mir-4535	MI0016903	chr22	+	49176107	49176165	none	0	0	0	0	0	FAM19A5	+	-28364
hsa-mir-4776-1	MI0017419	chr2	+	213790981	213791060	hsa-miR-4776-5p	0	0	0	0.16	0	IKZF2	-	73352
hsa-mir-30b	MI0000441	chr8	-	135812763	135812850	hsa-miR-30b-3p	0.45	2.62	0	1.11	1.07	ZFAT	-	87472
hsa-mir-124-2	MI0000444	chr8	+	65291706	65291814	hsa-miR-124-5p	24.06	0	0	12.37	0.18	LOC100130155	+	-321
hsa-mir-376a-2	MI0003529	chr14	+	101506406	101506485	hsa-miR-376a-3p	1.34	1.67	18.92	2.54	0.89	MEG9	+	29764
hsa-mir-1251	MI0006386	chr12	+	97885687	97885756	hsa-miR-1251-3p	0.45	0	0	0.16	0	RMST	+	0
hsa-mir-200a	MI0000737	chr1	+	1103243	1103332	hsa-miR-200a-3p	2.45	6.66	12.61	7.14	1917.5	TTLL10	+	5955
hsa-mir-521-2	MI0003163	chr19	+	54219848	54219934	hsa-miR-521	0	0	0.79	0.16	0	NLRP12	-	76922
hsa-mir-378d-2	MI0003840	chr8	-	94928250	94928347	hsa-miR-378d	1.11	53.05	4.73	2.06	35.34	PDP1	+	-737
hsa-mir-4460	MI0016806	chr5	-	128732755	128732840	none	0	0	0	0	0	ADAMTS19	+	-63264
hsa-mir-3683	MI0016084	chr7	-	7106595	7106676	none	0	0	0	0	0	LOC100131257	-	-8726
hsa-mir-892a	MI0005528	chrX	-	145078187	145078261	hsa-miR-892a	1.11	0	0.39	0.16	0.18	CXorf1	+	166818
hsa-mir-6500	MI0022211	chr1	+	51525690	51525775	none	0	0	0	0	0	C1orf185	+	42132
hsa-mir-6078	MI0020355	chr10	+	4033352	4033451	none	0	0	0	0	0	KLF6	-	-205880
hsa-mir-17	MI0000071	chr13	+	92002859	92002942	hsa-miR-17-3p	3.79	24.03	74.49	16.02	100.13	GPC5	+	47994
hsa-mir-614	MI0003627	chr12	+	13068763	13068852	none	0	0	0	0	0	GPRC5A	+	-2164
hsa-mir-487a	MI0002471	chr14	+	101518783	101518862	hsa-miR-487a-3p	25.4	1.19	19.71	35.85	0.89	MEG9	+	17387
hsa-mir-7702	MI0025238	chr9	-	114033436	114033494	hsa-miR-7702	0	0	0	0.16	0.18	OR2K2	-	-56270
hsa-mir-769	MI0003834	chr19	+	46522190	46522307	hsa-miR-769-3p	76.41	0.24	1.97	36.49	1.96	PGLYRP1	-	106
hsa-mir-572	MI0003579	chr4	+	11370451	11370545	none	0	0	0	0	0	HS3ST1	-	29444
hsa-mir-451a	MI0001729	chr17	-	27188387	27188458	hsa-miR-451a	12.25	1726.98	859.15	48.55	809.8	ERAL1	+	316
hsa-mir-630	MI0003644	chr15	+	72879558	72879654	none	0	0	0	0	0	ARIH1	+	-663
hsa-mir-4277	MI0015886	chr5	-	1708900	1708983	none	0	0	0	0	0	LOC728613	-	74781
hsa-mir-4449	MI0016792	chr4	+	53578849	53578914	hsa-miR-4449	0	0	0	0.16	0	DANCR	+	0
hsa-mir-4421	MI0016758	chr1	+	51525509	51525577	hsa-miR-4421	1.11	0	1.18	1.43	4.46	C1orf185	+	42330
hsa-mir-646	MI0003661	chr20	+	58883532	58883625	none	0	0	0	0	0	LOC284757	+	0
hsa-mir-412	MI0002464	chr14	+	101531784	101531874	hsa-miR-412-5p	1.56	0	1.18	10.79	1.07	MEG9	+	4375
hsa-mir-4433	MI0016773	chr2	+	64567893	64567973	none	0	0	0	0	0	LGALSL	+	113355
hsa-mir-3619	MI0016009	chr22	+	46486924	46487006	hsa-miR-3619-5p	0	0.24	0	0	0	LOC150381	+	-32523
hsa-mir-587	MI0003595	chr6	+	107232000	107232095	none	0	0	0	0	0	LOC100422737	-	0
hsa-mir-4999	MI0017865	chr19	-	8454174	8454264	hsa-miR-4999-5p	0.22	0.95	0	0.63	0.71	RAB11B-AS1	-	0
hsa-mir-8071-1	MI0025907	chr14	+	106087453	106087517	none	0	0	0	0	0	ELK2AP	-	48398
hsa-mir-9-3	MI0000468	chr15	+	89911248	89911337	hsa-miR-9-5p	34278.2	790.81	228.97	56691.3	1358.47	LOC254559	+	9937
hsa-mir-1179	MI0006272	chr15	+	89151338	89151428	hsa-miR-1179	3.79	18.32	1.97	12.37	2.68	AEN	+	13100
hsa-mir-3689c	MI0016832	chr9	-	137741144	137741215	none	0	0	0	0	0	COL5A1	+	4457
hsa-mir-4693	MI0017326	chr11	+	103720634	103720708	none	0	0	0	0	0	PDGFD	-	57207
hsa-mir-4290	MI0015899	chr9	-	92785723	92785817	none	0	0	0	0	0	LOC286370	-	0
hsa-mir-6511a-4	MI0023566	chr16	-	18437870	18437936	hsa-miR-6511a-3p	26.51	1.67	0	16.02	0.71	NOMO2	-	-73247
hsa-mir-4268	MI0015874	chr2	-	220771223	220771286	none	0	0	0	0	0	SLC4A3	+	264522
hsa-mir-520e	MI0003143	chr19	+	54178965	54179051	hsa-miR-520e	0	0	1.97	0	0	DPRX	+	-38703
hsa-mir-3667	MI0016068	chr22	-	49937041	49937114	hsa-miR-3667-5p	0	0.95	3.94	0.32	0	C22orf34	-	-76177
hsa-mir-10b	MI0000267	chr2	+	177015031	177015140	hsa-miR-10b-3p	0	1.19	12.61	0	16.06	HOXD4	+	974
hsa-mir-147a	MI0000262	chr9	-	123007257	123007328	none	0	0	0	0	0	CDK5RAP2	-	-143820
hsa-mir-4678	MI0017309	chr10	+	89263638	89263711	hsa-miR-4678	0	0.24	0	0	0.36	MINPP1	+	513
hsa-mir-450b	MI0005531	chrX	-	133674215	133674292	none	0	0	0	0	0	MGC16121	-	-3116
hsa-mir-92b	MI0003560	chr1	+	155164968	155165063	hsa-miR-92b-5p	7.57	0.24	1.58	4.44	0.89	THBS3	-	317
hsa-mir-122	MI0000442	chr18	+	56118306	56118390	hsa-miR-122-5p	3.79	20.22	134.78	5.55	2.32	ALPK2	-	30093
hsa-mir-8072	MI0025908	chr12	-	123849311	123849390	none	0	0	0	0	0	SBNO1	-	14324
hsa-mir-5695	MI0019302	chr19	+	13031134	13031218	hsa-miR-5695	0	0.24	0	0	0	SYCE2	-	-1049
hsa-mir-10a	MI0000266	chr17	-	46657200	46657309	hsa-miR-10a-3p	0	0.24	0	0	1.25	HOXB4	-	1458
hsa-mir-27a	MI0000085	chr19	-	13947254	13947331	hsa-miR-27a-3p	50.35	3890.77	830.38	475.62	2124.72	LOC284454	-	152
hsa-mir-320d-1	MI0008190	chr13	-	41301964	41302011	hsa-miR-320d	8.69	0.48	1.97	1.43	1.25	MRPS31	-	-1422
hsa-mir-485	MI0002469	chr14	+	101521756	101521828	hsa-miR-485-5p	51.68	2.14	12.22	49.18	1.25	MEG9	+	14421
hsa-mir-4520b	MI0017358	chr17	+	6558768	6558821	hsa-miR-4520b-3p	1.78	0	0	0.95	0.36	C17orf100	+	-2152
hsa-mir-202	MI0003130	chr10	-	135061015	135061124	hsa-miR-202-5p	0.22	0.48	843.78	0.16	0	VENTX	+	5583
hsa-mir-4493	MI0016855	chr11	-	123252148	123252220	none	0	0	0	0	0	GRAMD1B	+	-144309
hsa-mir-196a-1	MI0000238	chr17	-	46709852	46709921	hsa-miR-196a-5p	1.56	3.57	191.53	0.16	5378.2	HOXB9	-	6018
hsa-mir-4496	MI0016858	chr12	+	109029586	109029646	none	0	0	0	0	0	SELPLG	-	-1917
hsa-mir-4666a	MI0017296	chr1	+	228649775	228649853	none	0	0	0	0	0	HIST3H2BB	+	-3517
hsa-mir-548ag-1	MI0016793	chr4	+	61788337	61788402	hsa-miR-548ag	0.89	0.24	0	1.43	0.18	LPHN3	+	574438
hsa-mir-889	MI0005540	chr14	+	101514238	101514316	hsa-miR-889-5p	11.81	0.48	0.79	6.35	0	MEG9	+	21933
hsa-mir-4508	MI0016872	chr15	-	23807209	23807278	hsa-miR-4508	6.01	4.04	5.91	15.39	1.61	MKRN3	+	-3177
hsa-mir-552	MI0003557	chr1	-	35135200	35135295	hsa-miR-552-3p	0.22	0.24	0.79	0.63	0.36	GJB5	+	-85427
hsa-mir-29a	MI0000087	chr7	-	130561506	130561569	hsa-miR-29a-3p	88.22	337.36	429.57	192.44	482.99	LOC646329	-	-4183
hsa-mir-34c	MI0000743	chr11	+	111384164	111384240	hsa-miR-34c-3p	5.12	0.71	184.44	11.11	0.54	BTG4	-	-1086
hsa-mir-6859-3	MI0026421	chr16	-	67052	67119	hsa-miR-6859-3p	0.45	0	0	0	0	DDX11L10	+	2963
hsa-mir-181d	MI0003139	chr19	+	13985689	13985825	hsa-miR-181d-5p	577.66	175.1	44.93	638.87	117.62	NANOS3	+	2239
hsa-mir-3613	MI0016003	chr13	-	50570551	50570637	hsa-miR-3613-5p	0	5	13.79	3.01	3.57	DLEU2	-	0
hsa-mir-4475	MI0016827	chr9	-	36823536	36823596	none	0	0	0	0	0	PAX5	-	-14936
hsa-mir-6723	MI0022558	chr1	-	567705	567793	hsa-miR-6723-5p	0	1.43	0	0.32	0.36	OR4F16	-	-53304
hsa-mir-6723	MI0022558	chr1	-	567705	567793	hsa-miR-6723-5p	0	1.43	0	0.32	0.36	OR4F29	-	-53304
hsa-mir-6723	MI0022558	chr1	-	567705	567793	hsa-miR-6723-5p	0	1.43	0	0.32	0.36	OR4F3	-	-53304
hsa-mir-3928	MI0016438	chr22	-	31556048	31556105	hsa-miR-3928-3p	65.94	6.9	2.36	76.31	9.64	RNF185	+	-34
hsa-mir-375	MI0000783	chr2	-	219866367	219866430	hsa-miR-375	39.65	3.33	39.41	46.17	41.59	LOC100129175	+	-508
hsa-mir-181b-1	MI0000270	chr1	-	198828002	198828111	hsa-miR-181b-5p	14517.6	1109.13	245.53	28943.5	1851.28	LOC100131234	-	0
hsa-mir-4734	MI0017371	chr17	-	36858515	36858584	hsa-miR-4734	0.22	0.24	0	0.48	0	MLLT6	+	-3290
hsa-mir-5692c-1	MI0019288	chr5	-	135138674	135138764	none	0	0	0	0	0	SLC25A48	+	-31602
hsa-mir-4318	MI0015847	chr18	+	35237098	35237178	none	0	0	0	0	0	CELF4	-	-91099
hsa-mir-3660	MI0016061	chr5	-	89312438	89312537	hsa-miR-3660	0	0	4.73	0	0	CETN3	-	-376993
hsa-mir-370	MI0000778	chr14	+	101377476	101377550	hsa-miR-370-3p	1095.16	28.31	19.31	1003.28	5.18	MEG8	+	-4172
hsa-mir-6087	MI0020364	chrX	+	108297772	108297820	hsa-miR-6087	0	0	0	0.48	0	IRS4	-	-318166
hsa-mir-891a	MI0005524	chrX	-	145109312	145109390	hsa-miR-891a-5p	23.17	0	54.39	2.38	6.25	CXorf1	+	197943
hsa-mir-24-2	MI0000081	chr19	-	13947101	13947173	hsa-miR-24-2-5p	0.67	71.13	6.31	2.54	6.96	LOC284454	-	0
hsa-mir-550a-3	MI0003762	chr7	-	29720350	29720444	hsa-miR-550a-3p	1.11	0.48	1.58	1.11	0.18	LOC646762	-	0
hsa-mir-1185-1	MI0003844	chr14	+	101509314	101509399	hsa-miR-1185-5p	2.9	3.33	18.92	6.66	0	MEG9	+	26850
hsa-mir-518e	MI0003169	chr19	+	54233092	54233179	hsa-miR-518e-5p	0	0	2.36	0.16	0	NLRP12	-	63677
hsa-mir-4679-1	MI0017310	chr10	+	90823093	90823167	hsa-miR-4679	0	0.48	0	0	0.54	FAS	+	-47552
hsa-mir-129-2	MI0000473	chr11	+	43602944	43603033	hsa-miR-129-5p	3481.53	5.95	109.17	4718.13	70.68	TTC17	+	-86462
hsa-mir-6770-3	MI0026419	chr16	-	18473208	18473267	hsa-miR-6770-5p	0	0	0.39	0	0	NOMO2	-	-37916
hsa-mir-573	MI0003580	chr4	-	24521815	24521913	none	0	0	0	0	0	DHX15	-	-7176
hsa-mir-4491	MI0016853	chr11	+	111218482	111218549	none	0	0	0	0	0	POU2AF1	-	4433
hsa-mir-3916	MI0016422	chr1	-	247365269	247365362	none	0	0	0	0	0	ZNF124	-	29952
hsa-mir-4422	MI0016759	chr1	+	55691314	55691396	hsa-miR-4422	0.45	0	0	0	0	LOC100507634	+	-8187
hsa-mir-200c	MI0000650	chr12	+	7072862	7072929	hsa-miR-200c-3p	65.5	15.7	12.61	44.58	3670.96	PHB2	-	1587
hsa-mir-372	MI0000780	chr19	+	54291144	54291210	hsa-miR-372-3p	0	1.67	25.62	0	0.54	NLRP12	-	5646
hsa-mir-3689a	MI0016090	chr9	-	137741333	137741410	none	0	0	0	0	0	COL5A1	+	4646
hsa-mir-3124	MI0014140	chr1	+	249120576	249120642	hsa-miR-3124-5p	0	0.48	0	1.59	0	SH3BP5L	-	-423
hsa-mir-6085	MI0020362	chr15	+	62635228	62635337	none	0	0	0	0	0	C2CD4B	-	-177747
hsa-mir-4487	MI0016848	chr11	+	47422521	47422593	none	0	0	0	0	0	SLC39A13	+	7454
hsa-mir-513a-1	MI0003191	chrX	-	146294981	146295109	hsa-miR-513a-3p	0	0	115.47	0	1.07	CXorf51A	-	398733
hsa-mir-513a-1	MI0003191	chrX	-	146294981	146295109	hsa-miR-513a-3p	0	0	115.47	0	1.07	CXorf51B	-	398733
hsa-mir-296	MI0000747	chr20	-	57392670	57392749	hsa-miR-296-5p	1.78	2.62	13.4	4.12	1.25	GNAS-AS1	-	-1225
hsa-mir-1587	MI0016905	chrX	+	39696815	39696867	none	0	0	0	0	0	BCOR	-	213633
hsa-mir-4763	MI0017404	chr22	+	46509446	46509537	none	0	0	0	0	0	PPARA	+	36963
hsa-let-7a-1	MI0000060	chr9	+	96938239	96938318	hsa-let-7a-5p	561489	184921	87834.8	187022	81620.8	PTPDC1	+	-66102
hsa-mir-548i-1	MI0006421	chr3	-	125509247	125509395	none	0	0	0	0	0	FAM86JP	+	-126050
hsa-let-7b	MI0000063	chr22	+	46509566	46509648	hsa-let-7b-5p	631225	46158.2	39710.7	244763	19404.3	PPARA	+	36852
hsa-mir-219a-1	MI0000296	chr6	+	33175612	33175721	hsa-miR-219a-1-3p	3.12	0.95	1.18	1.9	3.03	RING1	+	566
hsa-mir-4417	MI0016753	chr1	+	5624131	5624203	hsa-miR-4417	0.45	0	2.76	0	0	NPHP4	-	298668
